France,EUR
1960,1239.8
1961,1329.6
1962,1473.9
1963,1634.9
1964,1793.0
1965,1915.0
1966,2053.3
1967,2197.0
1968,2373.9
1969,2572.5
1970,2667.8
1971,2956.1
1972,3593.4
1973,4632.8
1974,4969.0
1975,6243.9
1976,6412.7
1977,7033.2
1978,8644.1
1979,10422.5
1980,11840.5
1981,10333.1
1982,9761.2
1983,9294.0
1984,8765.2
1985,9088.7
1986,12610.2
1987,15188.7
1988,16477.7
1989,16496.4
1990,20324.0
1991,20147.6
1992,22135.3
1993,20802.5
1994,21839.9
1995,24993.7
1996,24975.9
1997,22518.9
1998,23211.1
1999,22938.6
2000,20836.1
2001,20866.7
2002,22575.9
2003,27539.2
2004,31414.5
2005,32317.0
2006,33899.1
2007,38627.8
2008,42307.1
2009,38795.3
2010,37808.4
2011,40755.3
2012,37989.5
2013,39599.2
2014,40032.2
2015,34068.9
